References	Qty	Digikey
C1, C2	2	1276-1817-1-ND
C3, C4, C5, C6, C7, C11, C13, C16, C17	9	490-1532-1-ND
C9, C10, C18	3	490-3296-1-ND
C12, C15	2	490-10744-1-ND
C14	1	P12372-ND
C8	1	1276-1784-1-ND
J1	1	S1011EC-40-ND
J2	1	WM1731-ND
J3	1	1175-1008-ND
J4	1	AE10398-ND
J5	1	670-2294-ND
LED1	1	475-1410-1-ND
LED2	1	475-1415-1-ND
Q1	1	MMBT2222ALT1GOSCT-ND
R1, R5, R8, R12, R14, R15	6	311-10KGRCT-ND
R11	1	311-18.7KHRCT-ND
R6, R7	2	311-1.0KGRCT-ND
R2, R13	2	311-2.7KGRCT-ND
R3, R4	2	311-22GRCT-ND
R9, R10	2	311-220GRCT-ND
SW1	1	P12961SCT-ND
U1	1	497-11153-ND
U2	1	296-20515-ND
U3	1	568-8681-1-ND
U4	1	296-36844-1-ND
Y1	1	887-1667-1-ND
H1	1	603-1840-ND
H2, H3, H4, H5	4	345-1102-ND
