Ref Des,Value,Package,Qty,MPN,Link
"C1, C2, C16",2.2uF,0603-C,3,EMK107BJ225KA-T,
C12,4.7uF,0603-C,1,CL10A475KQ8NNNC,
"C3, C4",12pF,0603-C,2,C1608C0G1H120J080AA,
"C5, C6, C8, C9, C10, C11, C13, C15, C26",100nF,0603-C,9,GCM188R71C104KA37D,
"J1, J2",-,1X06_NO_SILK_YES_STOP,2,-,
J15,RJ45,RA-RJ45,1,A-2004-2-4-LPS-N-R,
J3,USB-ASMD-F,USB-A-S,1,87583-2010BLF,
J4,HONDA-6PIN,,1,HONDA-6PIN,https://www.aliexpress.com/item/Female-Male-6-Pin-Electrical-Accelerator-Pedal-Sensor-Connector-Auto-Plug-For-Honda-Acura-Nissan-7287/32829238822.html?spm=a2g0s.9042311.0.0.bhl0rv
LED1,GREEN,CHIPLED_0805,1,LG R971-KN-1,
"R1, R2, R3, R4, R7, R8","10k, 0.1%",0402-R,6,ERA-2AEB103X,
R13,220,0402-R,1,RC0402FR-07220RL,
"R16, R17",22,0402-R,2,RC0402FR-0722RL,
"R23, R24, R25, R26","1k, 0.1%",0402-R,4,ERA-2AEB102X,
"R5, R6",10k,0402-R,2,RC0402JR-0710KL,
U1,STM32-M-64-LQFP,LQFP64,1,STM32F205RET6,
U2,3V3,SOT23-5,1,TPS73433TDDCRQ1,
U3,TJA1042HVSON,HVSON8,1,TJA1042TK/3/1J,
U6,MCP6002,SO08,1,MCP6002T-I/SN,
Y1,16MHz,XTAL-3.2X2.5,1,ABM8AIG-16.000MHZ-12-2Z-T3,
